Commitments of Traders Historical Report for "CAD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Mar 08, 2022","149425","48492","40846","62360","77854","33951","26103","25178","38665","43039","25786","14557","40872"
"Mar 01, 2022","143507","50881","36741","57576","79162","30817","23371","25621","37447","39894","34384","18639","32712"
"Feb 22, 2022","140305","47661","38408","58345","72488","30327","25437","25262","33956","43237","35672","16757","31177"
"Feb 15, 2022","144815","54424","42254","58524","73640","28287","25341","26593","33252","43361","43092","23123","29994"
"Feb 08, 2022","145208","54762","39876","58404","75362","27480","25408","26755","35868","44550","40291","22157","30300"
"Feb 01, 2022","145082","52386","34122","57524","83146","31356","23998","26819","41520","43382","38923","20266","27122"
"Jan 25, 2022","146448","53129","40812","57492","77073","31539","24275","25729","45490","48180","27513","19250","37151"
"Jan 18, 2022","143371","49792","42300","58921","72644","31270","25039","28520","39808","43642","28345","17902","39027"
"Jan 11, 2022","138571","44284","51660","59569","57573","30707","25327","28712","21217","42020","44284","13785","34470"
"Jan 04, 2022","135633","41905","52930","61198","52656","27649","25166","31920","14752","40125","44157","11260","35482"
"Dec 28, 2021","138692","42528","52862","62717","55550","29912","26745","33018","15462","39561","42085","12466","39885"
"Dec 21, 2021","145562","45925","55802","66483","59043","29450","27013","34908","14956","41126","45977","16325","43932"
"Dec 14, 2021","186638","38230","51358","74451","76510","42399","27212","6499","22589","45427","38829","27692","43020"
"Dec 07, 2021","155078","41095","50453","72984","66847","31046","27825","14851","23021","46613","41761","31840","39406"
"Nov 30, 2021","148375","41242","55317","72020","62169","31117","26893","16633","23782","46596","38944","32140","42696"
"Nov 23, 2021","150275","44320","47455","66164","77561","37111","22579","7723","42133","49174","33055","34284","36891"
"Nov 16, 2021","148955","44147","35438","62689","89406","40389","22381","3272","60151","52828","18984","30156","33984"
"Nov 09, 2021","154720","43961","38857","67021","93629","42935","21431","2810","64254","58828","15016","28599","41576"
"Nov 02, 2021","156194","42037","37875","68542","95983","44037","20758","3703","65308","58557","11337","27513","44701"
"Oct 26, 2021","159475","45977","42657","69913","96542","42129","18820","3679","64402","55000","12060","34849","49209"
"Oct 19, 2021","153912","40380","51304","72675","80512","38947","20186","8713","51340","52885","19742","31787","49458"
"Oct 12, 2021","127827","22382","50242","66803","55075","37224","21092","9313","24127","40243","24489","19473","45550"
"Oct 05, 2021","120168","18580","45446","65338","49883","34639","23228","10406","18554","35171","29927","17296","35287"
"Sep 28, 2021","118066","21873","42108","62549","47716","31747","26345","8872","17392","34223","31993","19800","29306"
"Sep 21, 2021","118528","18954","46831","64253","45399","33096","24073","5672","16196","39255","34744","17352","31406"
"Sep 14, 2021","175708","36677","45960","102846","101422","33509","25650","32528","67001","39807","25145","36405","34071"
"Sep 07, 2021","170506","36704","42714","94316","100397","36407","24316","30872","68369","40782","24778","31419","32037"
"Aug 31, 2021","170439","40686","43534","92528","96630","34457","27507","31452","65907","38511","26730","35178","31994"
"Aug 24, 2021","171487","44124","38247","89815","104550","35037","26179","28872","72389","39814","32201","37466","24315"
"Aug 17, 2021","177460","46499","43839","93234","107876","36107","24125","29900","79933","42930","28734","37889","30094"
"Aug 10, 2021","171602","45445","38980","85808","107979","38066","22360","23386","82845","42593","25803","38000","26526"
"Aug 03, 2021","170609","46064","38604","85956","109045","37401","21772","22402","83834","44633","28265","38425","24823"
"Jul 27, 2021","174701","47048","41674","88808","110050","36955","21087","25004","84601","43928","31366","39640","24952"
"Jul 20, 2021","189308","59883","46968","89082","114958","36996","24035","25737","88539","42404","34237","52276","28654"
"Jul 13, 2021","198714","63107","36731","91664","142114","42347","18273","20420","116843","54964","26390","50876","23961"
"Jul 06, 2021","202136","69923","28745","86106","152773","44346","18857","10742","127454","63486","15632","53925","27315"
"Jun 29, 2021","196928","68301","22500","83461","154243","43608","18627","7994","128705","65203","11394","50375","24639"
"Jun 22, 2021","202787","69074","25849","88461","155151","43060","19595","11865","127988","67142","15022","50537","27637"
"Jun 15, 2021","252936","73071","28817","129185","202106","48013","19346","3975","132177","76030","11063","49027","31818"
"Jun 08, 2021","220053","80989","35708","81541","158724","50357","18455","3677","134330","81451","11354","50941","38034"
"Jun 01, 2021","228957","89467","40695","83447","165928","51491","17782","2892","135851","83155","11246","54113","42416"
"May 25, 2021","213176","84183","39372","76439","151974","49306","18582","2581","124757","78154","14630","53787","41492"
"May 18, 2021","207963","82026","35914","73359","148337","48890","20024","2986","119874","75822","15530","50150","38330"
"May 11, 2021","201955","79329","40700","72089","138338","48225","20605","2910","110843","75591","15929","47810","42461"
"May 04, 2021","196817","74280","48333","69279","129984","52291","17533","2406","104756","70666","18357","46151","46244"
"Apr 27, 2021","180771","56675","40953","72924","119629","50186","19203","2190","93433","61651","21535","39123","37917"
"Apr 20, 2021","173145","53824","40578","71858","113008","46500","18596","4335","85943","58908","28014","36836","32483"
"Apr 13, 2021","166186","48056","45650","71821","100166","44104","18165","6265","75301","57444","27119","31515","36387"
"Apr 06, 2021","166118","47506","44816","71329","100750","45729","18998","4864","75554","57757","27816","31228","34662"
"Mar 30, 2021","164199","48462","41944","68228","102279","46055","18522","2538","75307","59136","29284","31086","32163"
"Mar 23, 2021","162170","46786","41683","67367","98986","46479","19963","3157","72997","55792","29494","31099","31754"
"Mar 16, 2021","186932","50907","40644","82575","111850","50410","31398","2334","70004","53020","27734","36620","31521"
"Mar 09, 2021","173078","50022","39041","70529","113146","48876","17240","1292","77420","49795","29765","36120","30206"
"Mar 02, 2021","168689","51391","36064","67338","114438","47607","15834","952","82899","50801","28542","36498","27514"
"Feb 23, 2021","166868","46899","37767","68966","109887","49255","17466","2853","80791","53525","22016","31808","33730"
"Feb 16, 2021","159266","45021","36857","68547","102135","44228","18804","4130","74056","52615","24544","31091","30289"
