Commitments of Traders Historical Report for "GBP"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Mar 08, 2022","246312","50982","63508","164423","138966","23076","36007","101392","40294","33884","94448","52074","33812"
"Mar 01, 2022","211869","47679","48016","131583","117454","22551","36343","85693","44116","32925","75242","49643","30314"
"Feb 22, 2022","188443","42249","48058","116372","106302","24154","28415","64743","39705","47671","66137","32818","29511"
"Feb 15, 2022","195302","50151","47914","114901","112027","24257","29368","65652","43945","48968","69319","38309","28936"
"Feb 08, 2022","197948","44709","53254","120220","110897","26951","27729","68971","38140","46673","73022","35402","33498"
"Feb 01, 2022","184007","29597","53202","126536","97645","24845","30131","76594","25941","36175","79449","32333","28001"
"Jan 25, 2022","182040","36666","44429","117812","100970","24909","33988","69747","28358","39204","71102","34125","28420"
"Jan 18, 2022","183234","39760","40007","114486","111638","26267","28868","63501","40890","46072","64869","31636","28529"
"Jan 11, 2022","200493","30506","59672","144550","106518","22846","31712","91565","35534","38648","77414","33775","37946"
"Jan 04, 2022","200007","25980","65151","150332","100816","20573","30918","96727","27333","36031","85125","31194","36859"
"Dec 28, 2021","205378","23093","73812","156875","96774","22191","31573","109263","20658","33119","93269","25821","39881"
"Dec 21, 2021","207747","20824","78510","163619","92495","21240","34678","121244","11855","30495","110417","22969","33801"
"Dec 14, 2021","213210","29497","80245","162359","91919","19535","39227","121200","10280","29940","114964","30781","31726"
"Dec 07, 2021","238310","48950","87227","160312","105688","23763","40110","114629","8100","30123","110873","42212","46994"
"Nov 30, 2021","230423","52099","90998","149168","95396","22364","37237","112327","8941","32841","112763","47223","50978"
"Nov 23, 2021","213313","50122","84701","133888","88085","22470","33694","92672","12682","36964","99389","45082","46712"
"Nov 16, 2021","207099","50443","82042","127197","86015","23322","32905","87757","14263","37354","94275","43760","45717"
"Nov 09, 2021","186898","54004","66097","101492","83944","24510","29965","59810","16209","41014","81643","46819","40372"
"Nov 02, 2021","166780","57255","42208","78420","90152","27293","30608","29872","32947","46442","51098","49567","33952"
"Oct 26, 2021","156495","51912","36959","74688","88348","27446","28739","23797","33958","50324","41795","43047","35660"
"Oct 19, 2021","158961","49112","47497","79459","81840","27920","27154","30282","31359","47387","50160","41964","35782"
"Oct 12, 2021","172829","46794","58773","98512","78321","24778","32990","52131","22961","41359","72490","42275","30139"
"Oct 05, 2021","182338","48137","68155","105899","80223","25681","31339","60789","22774","40331","85245","45195","30675"
"Sep 28, 2021","171773","57923","55959","83471","80060","26971","32346","38012","23318","44608","73732","51399","29618"
"Sep 21, 2021","159908","51910","52128","79287","78214","26218","27073","30229","23263","48297","73487","45460","23967"
"Sep 14, 2021","142607","44161","39371","65679","78756","32596","24309","12017","30300","49887","57546","36127","21349"
"Sep 07, 2021","201389","29348","53872","132783","112517","30118","25860","59870","55915","52557","61873","29549","31768"
"Aug 31, 2021","194010","36544","51444","126407","111972","28992","28527","58021","57156","51346","65898","36864","26987"
"Aug 24, 2021","196366","39489","56234","128248","109077","26302","28728","62471","53378","50325","67353","40108","33102"
"Aug 17, 2021","178385","41898","37247","103667","107721","28967","29564","49724","54683","40100","56542","40837","22658"
"Aug 10, 2021","178875","44750","37680","101835","111098","29887","27694","43990","58217","41800","51178","42683","25128"
"Aug 03, 2021","180873","43119","43205","106522","109484","29296","26248","46639","54359","42316","52134","42949","31674"
"Jul 27, 2021","185373","41194","46878","115831","108203","26962","28906","63834","51690","36301","58295","41636","31899"
"Jul 20, 2021","188787","44223","47720","114031","110299","28931","29166","66063","48984","36968","63451","43207","30515"
"Jul 13, 2021","172345","44686","36717","94672","107227","30912","26326","44338","52123","39681","52505","44513","25567"
"Jul 06, 2021","178783","57232","35329","88387","113822","29841","26309","37795","53695","39701","53386","55336","25501"
"Jun 29, 2021","169230","51596","33873","82559","111907","34027","22402","28892","56101","44384","47417","48548","26797"
"Jun 22, 2021","171280","51445","33518","85169","111747","32470","23819","31961","57436","43759","48258","48628","24161"
"Jun 15, 2021","156059","55203","23033","61123","111006","38047","20334","4470","56986","55990","42806","44132","19069"
"Jun 08, 2021","171602","59238","31524","67888","112231","38028","21399","2389","55037","68867","44060","43079","28024"
"Jun 01, 2021","174502","64204","40079","67004","110204","40451","21376","3134","54570","73440","47041","45973","35668"
"May 25, 2021","169372","64193","33534","63058","113248","40988","21457","2710","54872","66955","49008","48903","29876"
"May 18, 2021","173146","63027","38127","66577","112181","42257","21553","3392","52205","67475","50501","49591","34113"
"May 11, 2021","173960","64947","36771","63539","113115","43759","22359","3094","52802","64841","52435","52151","32235"
"May 04, 2021","152741","52262","32414","59055","97048","40052","21907","3725","36952","53667","51667","46251","28725"
"Apr 27, 2021","161251","59917","30699","60835","108169","38732","20616","2326","47612","58391","51164","51675","27143"
"Apr 20, 2021","164246","61053","35875","60909","106105","40167","20149","2280","46362","55603","51171","55380","31119"
"Apr 13, 2021","148785","52851","27261","57154","97200","37222","22766","3269","37314","49176","49680","46871","23079"
"Apr 06, 2021","140556","45270","25319","59714","89841","34960","24784","4921","32940","50281","47268","40482","21823"
"Mar 30, 2021","139779","47222","22263","57584","89164","34194","27573","5714","32065","47874","46592","41021","19298"
"Mar 23, 2021","146112","51843","30024","57492","90206","35919","25024","5318","34303","53881","45119","40724","27597"
"Mar 16, 2021","148035","55190","26590","55771","96862","36323","23832","2782","41254","58592","46299","40822","24110"
"Mar 09, 2021","181373","61271","27360","78946","123300","36212","25769","9964","44874","53924","49798","47340","23890"
"Mar 02, 2021","169363","65138","29056","65635","113805","36154","24066","10067","51166","57190","51030","52516","25879"
"Feb 23, 2021","176721","68266","37288","66953","111588","39418","25761","11522","51009","60450","47924","50662","34912"
"Feb 16, 2021","171218","60269","38102","67674","105532","41458","25767","12461","46378","58893","51603","46204","31744"
"Feb 09, 2021","170161","60513","39395","65969","102470","41366","25983","12122","42233","56888","52663","47393","33385"
"Feb 02, 2021","161100","53658","44042","72034","90557","34802","25895","17955","29994","56613","51696","39479","37839"
"Jan 26, 2021","154558","47360","39395","68827","88037","37349","26104","15203","30772","57428","50552","33797","31563"
"Jan 19, 2021","147096","45904","32199","66734","90441","33343","23341","14524","32595","56828","49818","31050","25242"
"Jan 12, 2021","152924","47935","34993","66808","92479","35676","22947","15304","35361","53557","48933","35963","28109"
"Jan 05, 2021","143209","35526","31861","71685","84224","33641","24767","18852","26203","51895","49273","27946","26937"
"Dec 29, 2020","139870","35735","30903","70355","82782","31824","24229","19369","26078","48644","46389","28594","25292"
"Dec 21, 2020","144606","37550","31518","74009","85967","29769","23843","20356","28802","53304","46844","28446","27132"
"Dec 15, 2020","142242","35128","31060","72757","84108","32671","25388","19893","27811","52997","46851","26836","27093"
"Dec 08, 2020","164184","39344","33634","88382","100127","33002","26967","10206","18941","56234","47114","27354","28520"
"Dec 01, 2020","146966","37087","44986","74334","73022","32575","25988","13350","15387","55381","47435","30859","38517"
