Commitments of Traders Historical Report for "AUD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Nov 22, 2022","156807","32825","75611","104123","54109","16168","23396","70624","16660","46197","63564","14102","41650"
"Nov 15, 2022","162440","33214","77963","110099","55987","15029","24392","74128","12510","43554","71802","19092","41351"
"Nov 08, 2022","162523","33288","79971","108584","53361","16602","25142","73576","13149","42671","71382","18680","40362"
"Nov 01, 2022","165411","34148","84680","111638","48912","15301","27495","77134","11260","43826","68543","18241","45476"
"Oct 25, 2022","166961","32159","83605","115337","49018","15022","29895","75006","11489","49175","69578","17553","43155"
"Oct 18, 2022","150496","33046","68405","95474","46503","17233","30845","60162","8028","43430","65238","18341","33000"
"Oct 11, 2022","138320","29325","60596","86475","43783","18245","29666","50282","9095","44086","52885","14900","33921"
"Oct 04, 2022","139490","36248","64012","82080","43276","16813","27853","42261","6516","41882","50589","28265","43314"
"Sep 27, 2022","152301","39006","73659","92836","44838","16982","30327","58953","5525","36855","66484","30326","40645"
"Sep 20, 2022","150544","38797","79353","92900","40772","15434","27006","59250","3351","38800","75328","27790","35770"
"Sep 13, 2022","182287","29218","87068","120393","53375","22049","31217","62787","3998","50393","77550","18826","40260"
"Sep 06, 2022","178232","33305","89805","118817","55033","19403","26687","68274","4045","51752","94556","25005","38582"
"Aug 30, 2022","169267","31304","88697","114957","52454","18758","23868","74008","4228","46970","98131","21857","33901"
"Aug 23, 2022","169212","32342","92370","114923","50738","17742","21899","74976","4591","46190","99051","22734","34638"
"Aug 16, 2022","160045","28835","88083","110918","47448","16660","20882","66892","3482","52301","91983","17208","34592"
"Aug 09, 2022","158100","25644","83232","109593","50152","19378","21231","63223","3109","52288","96477","16011","29212"
"Aug 02, 2022","167931","30835","86785","115141","53017","17863","24037","71459","3205","51495","96974","21512","37369"
"Jul 26, 2022","156473","30024","77409","102398","51797","19361","22577","57387","3346","49070","88185","21988","33571"
"Jul 19, 2022","155246","30578","73726","102518","53242","17420","23548","57086","3354","48739","86962","22159","31445"
"Jul 12, 2022","158263","30527","72127","106112","53622","16570","27460","59887","3550","49127","86021","22900","31663"
"Jul 05, 2022","146950","27622","75243","95252","39544","18508","26595","45759","3654","51522","69623","20543","36888"
"Jun 28, 2022","139891","28887","71867","86347","39184","19791","23974","38874","3472","51352","69561","19955","33997"
"Jun 21, 2022","137017","31745","72351","82514","37906","18756","22758","37215","3221","55482","71439","17801","32911"
"Jun 14, 2022","142857","31660","74914","85591","40881","21342","22798","41617","2841","54530","74380","17102","35825"
"Jun 07, 2022","166422","31720","79616","99747","52334","24197","23714","42518","4474","53463","73959","20716","39694"
"May 31, 2022","153661","32897","81579","97031","45903","19659","22105","49933","4095","49334","82731","24897","35426"
"May 24, 2022","158615","36579","82025","99401","46132","18615","26438","53445","3762","46686","86200","26361","33146"
"May 17, 2022","163809","41473","86115","98903","44466","19187","28982","54146","2901","44451","86051","36864","37437"
"May 10, 2022","153209","36869","78583","91731","44605","20131","25543","49644","2911","44356","81349","30453","35459"
"May 03, 2022","152257","46995","75511","80147","45922","21330","27039","38756","6191","41183","76244","41597","35160"
"Apr 26, 2022","147090","47105","74756","75929","47013","23120","24385","37113","16344","45512","62727","37619","41236"
"Apr 19, 2022","147309","39201","68038","79208","58408","28257","20220","35129","32544","55548","54122","25067","38508"
"Apr 12, 2022","150939","39770","68485","81396","63520","29106","18267","35452","32449","59109","56889","24528","40740"
"Apr 05, 2022","148898","34871","72384","80207","57875","32313","17132","35175","29756","56510","56488","20653","42147"
"Mar 29, 2022","143007","33960","83566","80885","39991","26806","18094","36147","17392","53758","56332","22166","48044"
"Mar 22, 2022","127767","23747","74936","75916","27528","25508","22707","33152","3005","43236","58504","18608","36765"
"Mar 15, 2022","124521","24281","69137","77621","28981","19378","23162","39332","2579","41359","62010","16535","29284"
"Mar 08, 2022","197094","19521","97716","146144","67961","25564","25552","98736","27846","41083","65200","16794","64068"
"Mar 01, 2022","189667","12720","91056","151922","64185","19865","29266","110559","22819","36621","83979","10467","43049"
"Feb 22, 2022","192579","11553","95633","157416","61344","18459","30451","112472","18529","41501","91131","8601","41079"
"Feb 15, 2022","192578","11692","98386","155928","58244","19706","30696","113061","17884","38788","90813","9765","41907"
"Feb 08, 2022","196403","17323","103064","155203","56846","19485","32101","115365","14578","35664","93705","10787","45727"
"Feb 01, 2022","196913","18835","98664","155124","59026","18128","34397","115168","12222","34301","96105","17781","44836"
"Jan 25, 2022","190020","15121","98394","153386","55637","16371","30847","115026","11153","34626","98314","13530","39459"
"Jan 18, 2022","181136","9051","97505","148978","50459","19008","29073","113815","8788","28526","95600","9285","37848"
"Jan 11, 2022","185453","12383","103869","150375","46766","18406","30529","119936","5091","29010","102475","10966","37903"
"Jan 04, 2022","180107","12632","101998","145915","45106","18060","29503","116983","6382","27466","98575","10204","36962"
"Dec 28, 2021","183152","16885","98626","146266","46790","16785","34520","117177","4735","26867","101924","14666","35231"
"Dec 21, 2021","191309","22958","103312","148859","50826","16070","33749","119262","5107","27186","108597","20736","37301"
"Dec 14, 2021","197405","29254","108157","147601","49178","16807","36327","119523","4514","24565","108992","28401","41181"
"Dec 07, 2021","212150","33380","115172","152842","53968","19776","36858","119984","5035","26512","108534","28838","45573"
"Nov 30, 2021","201981","33217","113402","144539","49830","18206","32730","118775","4102","26754","105139","27801","51155"
"Nov 23, 2021","188033","40523","103788","122921","49498","18914","29072","96415","4231","27486","100141","34491","45194"
"Nov 16, 2021","166688","30760","91913","112044","42186","19744","28449","83026","4940","29773","82499","24272","40250"
"Nov 09, 2021","157269","23844","87268","108880","42695","22621","25382","70381","8818","40647","73788","15956","40707"
"Nov 02, 2021","162888","19187","94683","116464","42494","25749","24223","71099","13552","48561","64604","11171","52778"
"Oct 26, 2021","160011","17448","92694","117662","41263","22432","23585","74290","9600","44680","68395","11431","49688"
"Oct 19, 2021","158531","11632","87690","121502","40191","21748","27001","80283","7407","40729","62412","7647","51092"
"Oct 12, 2021","177932","11193","98801","146176","44176","16345","30737","107526","6488","37929","78277","7671","50278"
"Oct 05, 2021","188691","17471","107450","151501","42808","14474","33188","111930","3479","41948","92529","11981","48306"
"Sep 28, 2021","180869","18407","104790","143863","39165","14460","32775","105549","3724","41530","87580","12556","48020"
"Sep 21, 2021","185492","24746","110330","141655","39353","14298","31016","103151","3612","42271","95025","18442","47916"
"Sep 14, 2021","164727","13116","96499","131163","35130","16375","29025","93715","4734","41594","84763","4679","39108"
"Sep 07, 2021","173484","32496","102984","116164","32709","19996","32963","75143","3679","42463","81178","21528","46247"
"Aug 31, 2021","182084","47384","107462","114931","33350","14812","36315","70455","3156","43511","87128","39075","44457"
"Aug 24, 2021","197636","60964","117564","116451","38991","15687","36547","71079","3090","43909","98130","52886","49593"
"Aug 17, 2021","186948","64169","114536","101694","31985","17213","36555","59383","3090","40431","96159","59034","43810"
"Aug 10, 2021","171742","57323","106636","94109","29861","17148","32083","50835","3090","41241","93842","52243","35217"
"Aug 03, 2021","169889","57742","99025","89342","37905","19398","29552","45699","8507","42804","97804","51864","26834"
"Jul 27, 2021","167840","57415","96762","89675","38072","17836","30092","45292","10136","42536","94834","52523","26953"
"Jul 20, 2021","163574","57072","92762","84561","39577","19452","28746","41842","11408","41036","91506","51728","27836"
"Jul 13, 2021","155995","56721","85509","76758","42155","21022","26837","34753","15192","42150","86337","49934","24669"
"Jul 06, 2021","147352","53352","78222","68894","42409","23265","24880","25548","17975","41668","77195","47777","23384"
"Jun 29, 2021","140482","48824","66624","65391","49139","24473","22925","19555","22539","46291","73543","40989","16960"
"Jun 22, 2021","147814","56133","73708","67907","47559","22094","24867","21622","22968","46538","73504","47822","22425"
"Jun 15, 2021","124137","40139","58019","56902","46546","26262","18738","8998","25442","51951","63836","31240","14084"
"Jun 08, 2021","148640","48150","57587","60293","64596","31047","17307","7726","37155","51615","57836","40835","20209"
"Jun 01, 2021","135182","55385","57310","47419","59432","30225","16287","5538","40620","50616","54629","44101","20310"
"May 25, 2021","134790","55098","55907","49401","62190","29543","15945","4771","42823","53288","51762","41952","21783"
"May 18, 2021","137436","57862","54860","47486","65373","30543","15658","3437","44709","54662","51123","44547","22533"
"May 11, 2021","140907","59158","56742","45644","66213","34767","16614","2404","45992","58129","50778","41507","24374"
"May 04, 2021","137649","58385","56909","46969","62148","31003","17300","2980","42223","55582","52387","42175","22620"
"Apr 27, 2021","140736","59735","61145","46828","61967","32760","16211","3330","43064","55084","51064","43529","27036"
"Apr 20, 2021","136167","56723","58529","46349","60639","31677","15581","3733","42261","49473","52627","44619","23012"
"Apr 13, 2021","139633","64031","60272","45433","58979","29110","19323","4397","42504","47584","53227","46773","21922"
"Apr 06, 2021","137218","62991","58925","44308","59802","29395","17967","3628","43111","47737","52616","45221","21799"
"Mar 30, 2021","137335","66607","54344","42450","61087","27517","21143","2604","44564","46984","48342","48309","20167"
"Mar 23, 2021","133276","59032","53090","40903","60124","32392","19113","1576","42708","45944","47104","42039","20922"
"Mar 16, 2021","129421","57840","50220","39964","60410","30300","17474","232","44150","49614","46273","40325","17915"
"Mar 09, 2021","150330","61848","53773","47413","68322","36787","23953","4177","44782","48511","47202","48883","22099"
"Mar 02, 2021","149904","61047","55006","49676","72272","34594","18039","4649","54608","53948","43573","46966","23595"
"Feb 23, 2021","145261","55664","57300","49301","67172","37667","18160","4965","49754","53136","44358","42856","26043"
"Feb 16, 2021","140954","54675","57496","48431","62601","35963","18972","4695","45429","51377","50675","44111","21070"
"Feb 09, 2021","140497","55931","56147","47319","63010","35263","19356","4679","45886","50340","50867","45471","19644"
"Feb 02, 2021","142644","55768","57235","49919","65838","35247","17861","3469","49182","53173","51065","45517","20524"
"Jan 26, 2021","143073","56372","55601","49695","67333","34864","17997","3472","49279","53750","49654","43803","20683"
"Jan 19, 2021","144283","59927","55067","48604","70740","34195","16919","2454","52592","54879","49424","46290","20524"
"Jan 12, 2021","144614","60450","54994","50727","68740","31897","19340","2418","51347","57792","48226","45355","19936"
"Jan 05, 2021","146093","59738","63645","48589","62298","35013","17397","3238","46724","57725","48313","42895","27815"
"Dec 29, 2020","138309","53827","60333","48369","61082","34473","15254","3297","46070","54715","46928","39776","25387"
"Dec 21, 2020","136013","53323","57742","48497","58169","32601","18510","3355","43053","54576","47726","39044","22350"
"Dec 15, 2020","127016","45786","55111","45513","55118","33982","15052","3505","40227","48109","49096","35708","18461"
"Dec 08, 2020","160280","50650","60757","64389","71469","33908","16721","10815","45995","45083","47551","41846","22691"
"Dec 01, 2020","130727","45453","56253","51743","56725","31765","15983","11911","44802","44087","47089","36627","17322"
"Nov 24, 2020","131531","51679","56956","50373","53842","27726","18980","11293","43608","44783","44457","41790","19353"
"Nov 17, 2020","129737","48831","54954","51163","55627","28496","17909","12546","43333","42142","46343","40939","17344"
"Nov 10, 2020","130615","49371","58091","53794","51538","26101","19637","14445","40811","44135","44826","40341","20974"
"Nov 03, 2020","134352","56529","57843","52543","57744","23665","17150","13450","43409","43797","48536","47877","19770"
"Oct 27, 2020","130361","59696","50806","44741","61047","25227","17811","6493","45317","48272","47804","46547","15703"
"Oct 20, 2020","134220","61147","54392","44413","60360","26937","17745","4384","49052","51249","43950","46706","18625"
"Oct 13, 2020","137281","63863","60009","46258","58761","26189","17540","3792","48216","55222","42978","47132","24817"
"Oct 06, 2020","132119","61379","50532","44861","60822","24871","19757","3444","46261","51343","47295","47333","14884"
"Sep 29, 2020","128448","53816","44879","48694","62703","24821","19749","6670","44413","48959","46550","42051","13385"
"Sep 22, 2020","133214","60713","44374","45151","66731","26211","20970","4480","48841","50958","45008","45003","13004"
"Sep 15, 2020","131814","59687","43468","43307","68561","27508","18473","2137","51788","53246","42711","41998","13434"
"Sep 08, 2020","144091","57097","59141","51276","60542","30212","18902","6142","41100","53532","41446","39426","28542"
"Sep 01, 2020","137131","58190","58355","47313","58360","30316","19104","6546","42446","53933","40259","39822","29468"
"Aug 25, 2020","127505","51131","55030","46395","51927","29005","19574","6528","39910","49329","37230","37348","25788"
"Aug 18, 2020","124931","48489","51789","45335","51840","30419","20614","6845","37886","45676","39001","36975","22955"
"Aug 11, 2020","122210","47321","50809","46317","50026","27936","20739","7294","36919","42885","35424","38550","24584"
"Aug 04, 2020","120274","45465","46513","45444","52952","28611","20055","6908","36876","42340","37484","37710","21129"
"Jul 28, 2020","113682","42402","47414","45814","45768","24544","19578","7993","32807","39244","38658","37347","18060"
"Jul 21, 2020","108952","41778","41983","42632","43078","23892","23241","7470","29885","36116","36992","37413","14748"
"Jul 14, 2020","107237","45543","41293","40756","44908","20339","20437","8282","32060","33746","33863","40731","16313"
"Jul 07, 2020","105115","44740","45434","38279","40090","21213","18708","8219","30124","32877","30290","38745","21087"
"Jun 30, 2020","100658","40025","42933","41029","34920","18200","21401","9063","23542","34615","32380","34101","18211"
"Jun 23, 2020","93782","35974","40784","38500","32502","18028","19216","9278","19685","32689","33391","28970","16228"
"Jun 16, 2020","90803","31685","38217","39081","31889","18615","19275","10918","18257","30478","33074","24878","14748"
"Jun 09, 2020","138936","29912","66487","87115","43474","17578","24644","50888","24312","25959","30262","25811","44723"
