Commitments of Traders Historical Report for "NZD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"May 25, 2021","44245","24446","15861","12973","24680","5873","2751","4738","18319","11265","6593","20556","13760"
"May 18, 2021","43155","23624","15174","13176","24679","5508","2455","4712","18532","12075","5526","19405","14194"
"May 11, 2021","45414","26377","17033","12328","24523","5566","2715","4655","18466","12126","4748","20451","16332"
"May 04, 2021","44453","26371","17783","12363","22928","4952","2975","4733","16533","11786","5502","20787","16590"
"Apr 27, 2021","44102","25852","18873","12348","21177","5069","3219","4898","14942","10412","6659","21636","16417"
"Apr 20, 2021","40632","21695","17373","12816","19044","5227","3321","5148","11145","9418","7535","19858","15782"
"Apr 13, 2021","38435","19727","17207","12262","16935","5229","3076","5794","8721","7753","7951","17882","14835"
"Apr 06, 2021","37377","19199","16061","11732","16658","5127","3339","5546","8131","7562","7329","17263","14544"
"Mar 30, 2021","36805","18945","14899","10971","16988","5351","3380","5410","7634","8012","6912","16005","14992"
"Mar 23, 2021","38253","20354","15630","10051","17342","5865","3298","4562","7155","9667","6277","15701","17204"
"Mar 16, 2021","34565","20002","13973","8145","16306","4862","2730","2282","6599","11610","6568","13776","15113"
"Mar 09, 2021","51380","32664","15538","8520","28127","5639","3158","3128","18910","12097","5066","25333","17455"
"Mar 02, 2021","48587","31825","15417","9069","28048","5588","3017","2074","18503","12805","5066","24429","17368"
"Feb 23, 2021","48209","30422","15773","10393","28760","6498","2780","3011","19544","13622","4156","23091","18953"
"Feb 16, 2021","48103","30243","16532","10690","28141","6293","2553","3601","17961","13057","6644","23404","18414"
"Feb 09, 2021","48655","29133","17589","11662","27334","6785","2657","4607","17533","12453","7501","22016","18078"
"Feb 02, 2021","50685","30501","18854","12766","26713","6140","3840","5240","15868","11844","8607","24559","19377"
"Jan 26, 2021","46804","28177","13419","11733","29863","6643","3271","3735","18480","13087","7131","22094","15988"
"Jan 19, 2021","46244","27997","12014","10475","30199","6719","2978","3140","18327","14168","6513","20362","15549"
"Jan 12, 2021","44757","26131","11424","11801","30019","6264","2753","2765","18607","16580","5934","17492","15133"
"Jan 05, 2021","47194","26552","14556","13051","29253","7098","2892","3026","17961","17934","6028","16118","18160"
