Commitments of Traders Historical Report for "CHF"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Nov 22, 2022","41440","1910","16386","28470","9267","10723","15450","25368","1253","2175","10245","1970","13288"
"Nov 15, 2022","41966","2271","19098","29249","7612","10058","14868","26164","902","2035","11068","2493","13912"
"Nov 08, 2022","49907","4865","22019","35603","7327","9156","20278","32384","0","2329","14461","4904","14034"
"Nov 01, 2022","50107","6612","21396","35822","8091","7559","20506","32490","89","2545","15944","6465","12520"
"Oct 25, 2022","46594","5538","16838","31843","8682","9097","20958","28450","92","2424","14900","5237","9258"
"Oct 18, 2022","44911","7052","14138","28702","9604","9122","21134","24787","91","2776","14516","6523","7467"
"Oct 11, 2022","43748","5501","11391","29436","11453","8770","20863","25550","92","2369","15526","5537","5745"
"Oct 04, 2022","43121","7816","14668","26140","10118","9128","18298","21429","0","3114","13578","7650","9445"
"Sep 27, 2022","44492","7681","13411","28196","11298","8500","19668","23567","0","3183","14764","7199","8017"
"Sep 20, 2022","40937","8167","14907","22309","9323","10421","16667","17675","5","2658","12821","8167","9428"
"Sep 13, 2022","44853","7704","15009","26988","10476","9355","18562","23001","1424","2411","14427","7777","8131"
"Sep 06, 2022","48226","10882","14919","26584","9717","9620","22450","23530","1126","2511","15788","10936","7233"
"Aug 30, 2022","47168","11915","14177","27113","11642","7906","21115","23404","1174","2280","15205","12567","8663"
"Aug 23, 2022","42471","9541","11946","23858","9079","8916","21290","20504","1794","2251","10321","9759","8025"
"Aug 16, 2022","39407","7773","12869","21767","8151","9809","18329","18638","2219","2446","9176","7757","8926"
"Aug 09, 2022","43202","8635","18417","25084","5620","9414","19096","21433","763","2985","11431","8601","11143"
"Aug 02, 2022","45874","8170","21478","29075","5796","8457","18428","24330","1207","3499","11824","8467","13294"
"Jul 26, 2022","44081","8138","19437","27195","6585","8653","17964","23066","1194","3022","13718","8537","10402"
"Jul 19, 2022","41855","6948","17860","25008","5803","9819","18112","19247","762","4363","12054","7283","9784"
"Jul 12, 2022","41255","7017","15741","26217","6335","7984","19142","19302","776","3632","10811","9188","9377"
"Jul 05, 2022","38504","3218","13353","26664","6589","8602","18542","20025","0","2822","9815","5979","9071"
"Jun 28, 2022","40123","4523","13114","25994","8132","9588","18859","19804","411","2970","11397","6544","8239"
"Jun 21, 2022","37669","3068","10225","24927","9969","9673","17474","18978","516","3366","12408","4150","5769"
"Jun 14, 2022","39362","4291","11099","26045","7898","9026","20365","18597","4","4312","12294","5679","4951"
"Jun 07, 2022","49794","2609","18741","34494","7278","9378","20462","27626","929","4651","10814","2825","12275"
"May 31, 2022","49579","2641","23099","37473","7622","8596","17989","29068","1394","6750","12431","2866","15466"
"May 24, 2022","49918","1355","21028","39913","8219","8308","20329","31334","1854","6818","12738","1509","13048"
"May 17, 2022","53291","5240","21832","39722","8541","8094","22683","29404","1158","8009","13826","5979","13819"
"May 10, 2022","51282","4727","20490","38258","8439","8271","22327","29942","1842","5939","13146","6006","12843"
"May 03, 2022","49385","4357","18264","37429","6887","7397","24032","31234","0","4714","13633","4769","10449"
"Apr 26, 2022","47297","4455","17324","33085","7372","9687","22531","27841","0","3687","15520","4973","8137"
"Apr 19, 2022","44269","2900","14350","31735","8684","9599","21200","25985","0","2569","14808","5055","7200"
"Apr 12, 2022","41231","1642","15584","30798","8499","8742","17099","24975","0","2586","14905","3847","8146"
"Apr 05, 2022","40005","1860","14253","29392","8649","8694","17044","24331","10","2590","14348","3536","7749"
"Mar 29, 2022","44327","3292","14871","32430","9202","8522","20171","27496","11","2312","15136","4933","7945"
"Mar 22, 2022","44911","6012","14436","30663","10164","8143","20218","26493","446","2501","15296","6439","7616"
"Mar 15, 2022","43356","5808","11037","28761","11301","8768","20999","22430","506","4537","14194","6235","6271"
"Mar 08, 2022","51820","4856","14566","36635","14693","8947","21179","27822","2443","5997","13315","5283","11112"
"Mar 01, 2022","47273","1651","16899","35045","14183","10127","15741","28231","2083","4850","13636","2078","13340"
"Feb 22, 2022","47339","3785","14772","33718","14608","9691","17814","27460","1802","3220","13703","5027","11593"
"Feb 15, 2022","45522","3652","13367","33069","14181","8654","17827","27170","1739","2940","13747","4880","9845"
