Commitments of Traders Historical Report for "JPY"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Mar 21, 2023","169188","7255","73600","134389","61905","24336","30475","49208","11668","71320","55345","10622","61899"
"Mar 14, 2023","179782","11048","85842","142857","56863","23727","34927","53589","7961","76079","68319","16306","60847"
"Mar 07, 2023","211297","17141","92444","163246","73643","25536","39836","62068","8972","79299","79224","19427","58884"
"Feb 28, 2023","200047","27703","86381","142893","72372","24917","36760","58020","12416","72408","80598","25965","51807"
"Feb 21, 2023","186100","32486","66515","126777","79888","23044","35904","36758","17402","71320","70232","30808","37896"
"Feb 14, 2023","174955","23079","50922","124522","88753","26311","34237","33208","32738","72037","50848","20989","34650"
"Feb 07, 2023","164069","16556","45645","118080","84734","28171","32428","34473","32675","66337","47162","13576","31302"
"Jan 31, 2023","168540","22550","42610","114423","96244","31108","29227","35009","39859","59887","46342","20971","32108"
"Jan 24, 2023","173321","27620","49255","113437","96292","31009","26519","34346","38507","60445","49803","25334","36268"
"Jan 17, 2023","176862","29458","52419","114907","96823","30761","25884","37003","38165","55978","53770","31349","36833"
"Jan 10, 2023","175745","26395","61772","119166","84678","28973","28084","43004","27319","55013","66462","29570","34650"
"Jan 03, 2023","172590","25377","72241","117959","71186","27267","27176","45775","11100","54246","69600","26931","45445"
"Dec 27, 2022","173136","29685","67415","118599","72598","22987","31258","60729","7411","53316","77069","28810","49437"
"Dec 20, 2022","182034","33686","74567","121482","75759","25924","30766","64037","5563","53587","87835","33835","52242"
"Dec 13, 2022","226964","22290","75478","157021","97992","26668","32509","91836","18200","50859","94167","21753","45441"
"Dec 06, 2022","223424","23589","89585","169918","94716","24896","34102","107518","22237","55492","98262","23827","56261"
"Nov 29, 2022","228328","28125","95519","173959","91290","22403","37678","109321","16913","58986","108836","24956","55283"
"Nov 22, 2022","227435","30800","95650","170350","92244","23533","36789","106048","16430","58325","111758","29029","54986"
"Nov 15, 2022","233346","33797","99639","172905","95692","24061","35432","108146","12676","56437","119838","33862","55569"
"Nov 08, 2022","251378","37201","112459","183539","94559","26462","40184","118441","5393","55857","133479","37682","61476"
"Nov 01, 2022","258906","40460","118080","191221","95447","23021","41175","124994","7761","56909","136135","40246","62353"
"Oct 25, 2022","272597","37579","140197","205120","87038","25555","41019","132682","3093","59789","139496","40505","74332"
"Oct 18, 2022","264265","30583","124919","203508","92667","26491","42996","128105","1104","61341","136354","34327","73562"
"Oct 11, 2022","245007","30149","107542","187119","92670","24526","41582","112847","537","60578","126034","35427","66066"
"Oct 04, 2022","243289","26962","108585","185691","92367","26766","38467","107555","4042","61632","129716","36020","60749"
"Sep 27, 2022","244655","22706","105262","195930","95297","21476","39553","123466","3223","61012","133243","27265","58221"
"Sep 20, 2022","250892","34767","116047","190267","92754","22337","38570","119231","737","59094","140196","34806","59320"
"Sep 13, 2022","281716","39323","120015","212375","114076","23186","40793","140784","4235","57336","136852","21632","64409"
"Sep 06, 2022","281266","56002","114191","191138","113469","24109","43589","131211","5200","51354","135848","38406","62716"
"Aug 30, 2022","247030","54513","96044","163991","102704","21436","41192","116136","16505","49421","121971","41457","50948"
"Aug 23, 2022","242132","56734","95541","156987","104523","22147","35804","113806","23068","49821","121039","42561","50498"
"Aug 16, 2022","228697","51308","80199","152209","110230","21465","34553","108156","42705","50791","94075","36906","45673"
"Aug 09, 2022","225834","52333","77365","148628","111634","20978","32940","108923","46168","49894","91194","35018","46080"
"Aug 02, 2022","236737","50433","93186","157333","107079","25358","32859","112973","44079","49211","91371","39382","59305"
"Jul 26, 2022","229219","43812","105293","157963","84190","23671","35963","113897","16839","46506","108232","34613","59440"
"Jul 19, 2022","229449","42880","102105","158427","85345","24496","38353","116059","13660","50166","109270","27696","58044"
"Jul 12, 2022","223539","35533","95531","160589","85522","23147","38216","116165","14987","53057","102379","21822","59308"
"Jul 05, 2022","217672","38660","93105","149702","85639","25452","35070","116715","13290","38453","100754","26115","58123"
"Jun 28, 2022","213767","36462","89032","152071","84176","22379","37704","118104","7005","38979","96224","24274","61734"
"Jun 21, 2022","218076","35864","94318","156248","81899","23099","38994","121759","7454","38872","96194","22433","66792"
"Jun 14, 2022","232513","32441","102196","175789","89346","22340","39028","140494","4774","37886","112746","21929","68894"
"Jun 07, 2022","266054","18466","110112","210889","101780","23226","40689","156839","9616","38990","112252","24172","79865"
"May 31, 2022","239080","15201","109640","196584","91535","22605","33215","140856","8403","44875","107177","21425","79236"
"May 24, 2022","237256","16567","116011","192215","85516","24858","32113","134529","7643","45272","107045","23952","81433"
"May 17, 2022","241308","12113","114422","204417","89355","20933","33686","149033","7177","44819","112267","19163","79713"
"May 10, 2022","247278","11196","121650","213084","88157","19811","34284","159366","6859","41938","113070","18482","80000"
"May 03, 2022","254813","18585","119379","215563","95299","18007","37477","160260","7984","43044","108527","23023","89696"
"Apr 26, 2022","237995","14269","109804","201828","86907","19588","38974","150574","6379","38829","108563","20464","75398"
"Apr 19, 2022","251291","12723","119910","216101","86259","20761","43416","165519","4451","37602","108673","18655","86031"
"Apr 12, 2022","245403","9925","121752","212850","80948","20022","40097","164152","2561","37832","106781","15316","87666"
"Apr 05, 2022","242217","14583","118412","205209","79985","19190","40585","155667","2991","39617","100800","17717","88862"
"Mar 29, 2022","239698","15274","117405","201190","76340","20392","43111","153069","2794","38438","103224","17132","80572"
"Mar 22, 2022","248221","36676","115158","189100","84310","17749","44057","143155","1937","39691","109495","37660","82393"
"Mar 15, 2022","215484","34016","96356","163089","75492","15533","40790","108916","1107","46221","101437","34616","61226"
"Mar 08, 2022","208683","15548","71404","170330","93673","16884","37685","100477","10499","49932","91964","20957","48192"
"Mar 01, 2022","208629","14665","83397","167605","88070","22407","33210","96451","14239","48095","87995","25299","58445"
"Feb 22, 2022","194169","10976","74163","162044","79564","17881","37174","104610","12670","47020","82704","14018","52348"
"Feb 15, 2022","199425","10425","76587","166645","80389","18973","39067","113515","10327","47986","84796","8648","56529"
"Feb 08, 2022","196478","15692","74840","159601","83644","17609","34418","99764","16192","50862","83630","16976","52629"
"Feb 01, 2022","194435","14510","75150","160358","81005","15958","34671","101785","11323","50139","90061","16856","49618"
"Jan 25, 2022","197830","15866","84139","160178","77315","17950","32540","101202","14765","48212","81352","19273","59439"
"Jan 18, 2022","201820","8002","88881","173701","73961","17475","36336","115424","8902","42418","88455","18780","59651"
"Jan 11, 2022","234005","22364","109889","189708","81316","17631","38498","132397","3507","39706","106931","33224","74129"
"Jan 04, 2022","234068","40816","103078","170537","85793","18339","40821","121341","4722","41272","107457","40072","68556"
"Dec 28, 2021","203814","32475","85577","150647","78283","16525","35787","102130","4107","40821","98235","33153","54022"
"Dec 21, 2021","183743","22191","74477","142161","71002","16916","35789","93354","3842","38894","88844","25404","46104"
"Dec 14, 2021","176584","20231","73754","136938","65878","17308","34845","88670","2440","38215","85499","24246","45627"
"Dec 07, 2021","205970","13148","76229","163847","83350","18654","36070","107950","19749","39804","82794","19301","48219"
"Nov 30, 2021","216692","14585","93451","177285","85252","20644","33811","121939","21800","38051","87091","23109","62012"
"Nov 23, 2021","251801","20285","117538","205923","89698","22338","41310","154587","18844","41386","99266","21910","82449"
"Nov 16, 2021","252897","24635","117761","203468","87710","21790","44422","155822","17523","42185","93958","22158","87854"
"Nov 09, 2021","243087","16440","121791","203044","79845","21297","39145","145815","15849","48559","90868","17400","89346"
"Nov 02, 2021","251058","20337","127961","207612","81607","20944","39325","148738","15373","47510","96364","22561","90828"
"Oct 26, 2021","265254","31487","138523","212303","83757","19254","40764","155437","14999","41962","102466","38286","98852"
"Oct 19, 2021","266750","35713","138447","207735","85095","21090","40996","150285","15982","40591","111039","43227","90256"
"Oct 12, 2021","243617","35810","112444","185560","90468","20735","39193","133145","20611","44112","102257","34597","73453"
"Oct 05, 2021","226379","31569","95263","175160","90697","18406","39175","123644","19325","46780","93966","29347","66177"
"Sep 28, 2021","219638","35328","100088","165246","81967","17806","36325","112536","19750","46044","91395","33996","64226"
